data_base;data_emissao;data_vencimento;cedente;sacado;valor_face;valor_descontado;taxa_operacao;status
29/05/2026;15/01/2026;20/04/2026;Alpha Comercio LTDA;Beta Industria SA;150000,00;142500,00;2,15;VENCIDO
29/05/2026;20/01/2026;25/06/2026;Alpha Comercio LTDA;Gamma Distribuidora ME;85000,50;80750,25;1,90;A_VENCER
29/05/2026;05/02/2026;10/05/2026;Delta Servicos SA;Beta Industria SA;220000,00;209000,00;2,05;A_VENCER
29/05/2026;12/02/2026;18/07/2026;Delta Servicos SA;Omega Logistica SA;95000,00;90250,00;1,85;A_VENCER
29/05/2026;01/03/2026;15/03/2026;Epsilon Tech LTDA;Sigma Varejo SA;48000,00;45600,00;2,40;ATRASO
29/05/2026;10/03/2026;20/08/2026;Epsilon Tech LTDA;Beta Industria SA;175000,00;166250,00;1,95;A_VENCER
29/05/2026;18/03/2026;22/09/2026;Zeta Alimentos SA;Gamma Distribuidora ME;310000,00;294500,00;1,75;A_VENCER
29/05/2026;25/03/2026;30/04/2026;Zeta Alimentos SA;Theta Farma SA;67000,00;63650,00;2,10;LIQUIDADO
29/05/2026;02/04/2026;05/10/2026;Alpha Comercio LTDA;Omega Logistica SA;128000,00;121600,00;1,88;A_VENCER
29/05/2026;08/04/2026;12/07/2026;Iota Metalurgica SA;Sigma Varejo SA;54000,00;51300,00;2,00;A_VENCER
29/05/2026;15/04/2026;20/05/2026;Iota Metalurgica SA;Theta Farma SA;92000,00;87400,00;1,92;A_VENCER
29/05/2026;22/04/2026;28/11/2026;Kappa Construcoes SA;Beta Industria SA;245000,00;232750,00;1,80;A_VENCER
29/05/2026;28/04/2026;03/06/2026;Kappa Construcoes SA;Gamma Distribuidora ME;73000,00;69350,00;2,25;A_VENCER
29/05/2026;05/05/2026;10/12/2026;Lambda Quimica SA;Omega Logistica SA;188000,00;178600,00;1,70;A_VENCER
29/05/2026;12/05/2026;15/08/2026;Lambda Quimica SA;Sigma Varejo SA;61000,00;57950,00;1,98;A_VENCER
29/05/2026;18/05/2026;22/01/2026;Mu Transportes LTDA;Theta Farma SA;35000,00;33250,00;2,50;BAIXADO
29/05/2026;20/05/2026;25/09/2026;Mu Transportes LTDA;Beta Industria SA;112000,00;106400,00;1,82;A_VENCER
29/05/2026;22/05/2026;30/10/2026;Nu Embalagens SA;Gamma Distribuidora ME;99000,00;94050,00;1,87;A_VENCER
29/05/2026;25/05/2026;28/02/2026;Nu Embalagens SA;Omega Logistica SA;41000,00;38950,00;2,30;RECOMPRADO
29/05/2026;27/05/2026;15/11/2026;Xi Papeis LTDA;Sigma Varejo SA;156000,00;148200,00;1,78;A_VENCER
30/04/2026;10/12/2025;15/03/2026;Alpha Comercio LTDA;Beta Industria SA;140000,00;133000,00;2,10;VENCIDO
30/04/2026;15/01/2026;20/05/2026;Delta Servicos SA;Gamma Distribuidora ME;200000,00;190000,00;1,95;A_VENCER
30/04/2026;20/02/2026;25/06/2026;Zeta Alimentos SA;Omega Logistica SA;275000,00;261250,00;1,80;A_VENCER
30/04/2026;05/03/2026;10/07/2026;Epsilon Tech LTDA;Sigma Varejo SA;88000,00;83600,00;2,00;A_VENCER
30/04/2026;12/03/2026;18/08/2026;Kappa Construcoes SA;Theta Farma SA;165000,00;156750,00;1,85;A_VENCER
30/04/2026;01/04/2026;05/09/2026;Lambda Quimica SA;Beta Industria SA;120000,00;114000,00;1,90;A_VENCER
30/04/2026;15/04/2026;20/10/2026;Iota Metalurgica SA;Gamma Distribuidora ME;76000,00;72200,00;1,88;A_VENCER
30/04/2026;20/04/2026;25/04/2026;Mu Transportes LTDA;Omega Logistica SA;45000,00;42750,00;2,20;ATRASO
30/04/2026;25/04/2026;30/11/2026;Nu Embalagens SA;Sigma Varejo SA;98000,00;93100,00;1,75;A_VENCER
30/04/2026;28/04/2026;15/12/2026;Xi Papeis LTDA;Theta Farma SA;132000,00;125400,00;1,82;A_VENCER
